IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Annex_I,Central Europe,BGR,Bulgaria,N2O,25.86961289,26.85546771,27.71505954,27.57724885,28.27326765,30.9048353,30.2463976,29.95912426,29.56760857,30.80246165,31.07065662,32.18646751,31.62594065,31.23128705,29.19300021,28.44690769,28.26483174,27.8387059,29.74556736,27.78213772,25.15712365,21.60574304,17.49184672,15.04187819,15.05173068,13.88194204,14.46822561,13.53388841,11.87423749,11.12728794,12.14106007,12.34665544,11.16696542,11.05823286,12.04160703,11.87848523,11.05747446,11.14660878,10.80006074,10.71255945,10.77926227,10.8907772,11.69503914,12.50783773,14.42697339,13.2776775,14.84272914,14.65493546,14.56944326,14.84135283,15.04364185,15.10192457,14.76307617,14.48953296,14.394555
Non-Annex_I,Middle_East,BHR,Bahrain,N2O,0.092620546,0.09513253,0.103904267,0.11693667,0.128196878,0.14136029,0.157529356,0.175268074,0.185417878,0.1914959,0.19582267,0.209961184,0.221294145,0.233039738,0.230040462,0.242493438,0.248144498,0.255157328,0.268480905,0.2802049,0.292006691,0.292494573,0.315972845,0.329663156,0.343322171,0.35813928,0.382786081,0.413097769,0.437259591,0.448683022,0.403728387,0.383345965,0.41695846,0.425715216,0.43439863,0.472612371,0.509854238,0.523900227,0.537139555,0.544826625,0.5758385,0.564365364,0.574614467,0.611216635,0.622805631,0.622448708,0.642835939,0.664882289,0.680047861,0.70348177,0.811426892,0.827483369,0.850628285,0.854800211,0.854109751
Non-Annex_I,Rest Central America,BHS,Bahamas,N2O,0.074985284,0.074184044,0.076434802,0.079572267,0.07231511,0.080867387,0.083536951,0.08700199,0.085505233,0.082134767,0.08771036,0.08933101,0.084198094,0.070855742,0.07461503,0.070977982,0.075195697,0.082349434,0.084822543,0.093479474,0.109522288,0.100798433,0.09457051,0.096980425,0.101981291,0.122711511,0.141307828,0.143711229,0.177959826,0.153718939,0.116224775,0.11800155,0.127144023,0.109086202,0.12840501,0.122934227,0.133569627,0.145129183,0.157804972,0.139308694,0.143739745,0.133939737,0.130261146,0.150032719,0.139096458,0.139662275,0.152884143,0.172798684,0.144106494,0.163303175,0.14989624,0.164073817,0.157719719,0.162418644,0.169504141
Non-Annex_I,Central Europe,BIH,Bosnia and Herzegovina,N2O,3.278766349,3.368178109,3.319401806,3.435886747,3.637631132,3.703299942,3.706175513,3.719604663,3.688514115,3.70050618,3.662890909,3.764474645,3.805092849,3.806809656,3.848505436,3.815865377,3.85745526,3.764716798,3.697965107,3.679741974,3.686643924,3.589908064,3.001552237,2.87899699,2.427955651,2.229959445,2.054604604,2.437747112,2.987639575,3.120555437,3.277421201,3.080924365,3.098004596,3.098149127,3.290573724,3.491700608,3.562479958,3.515295922,3.387963866,3.439029668,3.423810037,3.530544328,3.489095927,3.699560086,3.689791347,3.694146266,5.30413811,5.325164151,5.477621831,5.26460758,5.437606629,4.742354417,4.755744387,4.478398818,4.320978888
Annex_I,Ukraine +,BLR,Belarus,N2O,60.06926962,61.30444271,62.51824101,64.26432454,65.80860365,65.7458334,65.87892208,66.05804306,66.53890828,66.71874526,66.12248586,65.44490818,64.22003545,65.07039019,64.62143867,64.10887271,62.95160693,62.44855386,61.07198353,60.69347609,54.32881675,53.68716145,51.70407559,50.61444046,48.13586531,47.67741161,47.15625038,46.87892862,46.5885688,46.44339717,46.09652249,45.7730549,45.42453536,45.13297039,45.09842373,45.27602897,45.67515304,45.91087672,57.16150745,56.25066208,56.70698874,58.31830427,57.9663444,57.36895254,55.78388879,55.51006671,52.90976413,54.33713927,54.06797527,53.86307349,55.12590573,54.26825077,55.29073935,55.28936048,55.82042039
Non-Annex_I,Rest Central America,BLZ,Belize,N2O,0.140751913,0.144256577,0.145761165,0.150323284,0.155214918,0.158730381,0.157650769,0.165519502,0.1673291,0.168626695,0.170526355,0.170032884,0.192413418,0.277201348,0.194336762,0.186240854,0.200051093,0.189743563,0.203520085,0.194758786,0.21314097,0.234019717,0.23517033,0.223944574,0.23425467,0.213874674,0.201856609,0.215986669,0.247156837,0.235087834,0.225216962,0.234488363,0.248217175,0.29418649,0.234550118,0.257020336,0.258535945,0.289861184,0.281252251,0.295333254,0.315743631,0.418192528,0.340607218,0.379749696,0.322315254,0.339259596,0.349263689,0.378077319,0.361733789,0.38663129,0.398172833,0.385096565,0.386029908,0.410594831,0.464654487
Non-Annex_I,Rest Central America,BMU,Bermuda,N2O,0.018479752,0.018602611,0.020395256,0.01981285,0.018384605,0.020947482,0.020021947,0.021248121,0.021303003,0.021250925,0.021932103,0.020054602,0.020235126,0.020609437,0.022207003,0.021597555,0.02131762,0.026925101,0.02944652,0.034133348,0.029856187,0.028081771,0.024747272,0.026329215,0.026002395,0.026102749,0.026400903,0.027366953,0.028920169,0.02972927,0.021598462,0.021551969,0.022358909,0.022655982,0.022828055,0.023962916,0.027249041,0.030697333,0.030782013,0.024762256,0.028989007,0.01766242,0.019342605,0.02063291,0.026336303,0.023475883,0.028950695,0.027049185,0.02649626,0.025747288,0.02019845,0.022015959,0.022865281,0.029493806,0.029624616
Non-Annex_I,Rest South America,BOL,Bolivia,N2O,6.082621902,6.341470991,6.673865658,6.850228738,7.44766691,7.855379885,8.268789008,8.681518638,9.553941495,10.04833725,10.30194716,10.08535388,10.86195318,11.76930703,11.37669216,11.78976849,11.5439982,11.93072093,11.89904266,12.70529575,11.06881749,12.46374777,11.22523207,13.75136242,13.145159,13.55818073,14.66332346,12.82181396,13.63342603,14.4924178,14.62228182,15.31981331,15.79074744,15.24813021,18.55317823,17.52948344,18.16422559,19.57071904,18.29919987,18.14992998,23.73557948,19.94676078,20.19985383,20.1725516,19.51206218,20.51977144,21.20815837,20.93812578,21.57030599,24.45223523,23.74688642,24.6460401,24.77569584,25.92074335,33.09117961
Non-Annex_I,Brazil,BRA,Brazil,N2O,173.237121,177.771739,185.3401842,189.8533517,208.5579021,217.9853769,231.9791357,239.5879668,240.3322999,247.6322217,263.6303486,260.2348419,268.7414203,270.7783219,279.3513682,282.3740108,292.9532026,300.8144447,305.7659427,295.3115553,294.7000869,310.1059114,324.4131715,342.5047938,354.65218,366.7151765,355.4139006,361.4609549,388.3151234,394.3411281,406.0689331,404.3597374,408.181383,438.8727985,457.6010058,460.5472196,458.5718303,477.6034916,475.5710762,469.7574411,496.1058797,512.8743813,511.7822035,517.5455615,527.5364365,528.3915312,544.5815634,549.1213711,540.0390068,549.3016454,578.6967109,602.4174344,611.9738198,631.1691701,638.2386235
Non-Annex_I,Rest Central America,BRB,Barbados,N2O,0.11332808,0.113640187,0.113342637,0.111238279,0.110012906,0.105593362,0.105673702,0.109849469,0.116684133,0.115668223,0.122031449,0.120426709,0.11822749,0.117595164,0.116789059,0.117132647,0.122321108,0.124610176,0.126588986,0.138209248,0.137682429,0.150424184,0.146473353,0.139975498,0.142043303,0.143835459,0.148216356,0.1525523,0.152366781,0.153848243,0.131390657,0.12097753,0.117134975,0.116746058,0.12122021,0.122807223,0.122586974,0.122031715,0.129211548,0.134456989,0.136242094,0.124156608,0.123785254,0.127446165,0.124312075,0.128249877,0.13641717,0.13427627,0.142352895,0.144202842,0.136726461,0.134518854,0.138200404,0.137811069,0.138990098
